# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/QSO_SGC_nz.txt
#  zmid n(z)
2.410000000000000142e+00 1.756503476345443949e-05
2.429999999999999716e+00 1.654177583879203804e-05
2.450000000000000178e+00 1.606231830555642542e-05
2.469999999999999751e+00 1.573078408730670957e-05
2.490000000000000213e+00 1.612569822594958095e-05
2.509999999999999787e+00 1.499781778813382564e-05
2.530000000000000249e+00 1.462454205370505020e-05
2.549999999999999822e+00 1.464874886808298028e-05
2.570000000000000284e+00 1.321096466866313740e-05
2.589999999999999858e+00 1.264813804975164468e-05
2.610000000000000320e+00 1.216423410102743653e-05
2.629999999999999893e+00 1.246034835629628579e-05
2.650000000000000355e+00 1.203520010168025706e-05
2.669999999999999929e+00 1.151085969623569168e-05
2.690000000000000391e+00 1.109528331928041665e-05
2.709999999999999964e+00 1.071174234528267358e-05
2.730000000000000426e+00 1.009432123024397365e-05
2.750000000000000000e+00 9.563996898546956075e-06
2.770000000000000462e+00 9.853158032638306422e-06
2.790000000000000036e+00 9.742861674894335525e-06
2.810000000000000053e+00 9.593560819170213175e-06
2.830000000000000071e+00 9.494204553903374595e-06
2.849999999999999645e+00 8.919257039508898244e-06
2.870000000000000107e+00 8.679010226451925824e-06
2.889999999999999680e+00 8.243448838026199631e-06
2.910000000000000142e+00 7.989272760598572956e-06
2.929999999999999716e+00 7.530428459678892608e-06
2.950000000000000178e+00 7.092741730614658192e-06
2.969999999999999751e+00 7.071734265312520940e-06
2.990000000000000213e+00 6.675508165942871071e-06
3.009999999999999787e+00 6.653149865196126907e-06
3.030000000000000249e+00 6.240006837757029447e-06
3.049999999999999822e+00 5.964550645530699216e-06
3.070000000000000284e+00 5.852075178987034584e-06
3.089999999999999858e+00 5.778713994684118003e-06
3.110000000000000320e+00 5.229429106472163887e-06
3.129999999999999893e+00 5.253951845176437521e-06
3.150000000000000355e+00 4.959763588211906450e-06
3.169999999999999929e+00 4.502380761567730888e-06
3.190000000000000391e+00 4.558805851843821449e-06
3.209999999999999964e+00 4.423566175283869645e-06
3.230000000000000426e+00 4.425680628779646675e-06
3.250000000000000000e+00 4.151527046542086730e-06
3.270000000000000462e+00 3.854463006104996468e-06
3.290000000000000036e+00 3.774824193568839202e-06
3.310000000000000497e+00 3.429734789331052506e-06
3.330000000000000071e+00 3.626527206472617847e-06
3.349999999999999645e+00 3.132460680278314444e-06
3.370000000000000107e+00 2.914315009954622133e-06
3.389999999999999680e+00 2.764984159661604755e-06
3.410000000000000142e+00 2.573717959053967065e-06
3.429999999999999716e+00 2.308317039324131628e-06
3.450000000000000178e+00 2.099117784431773431e-06
3.469999999999999751e+00 2.000235792072936900e-06
3.490000000000000213e+00 1.841322928399327761e-06
3.500000000000000000e+00 1.841322928399327761e-06
