#original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v1.1/PIP/QSO_NGC_nz.txt
#zmid n(z)
2.250000000000000000e+00 2.192295872732397135e-05
2.270000000000000018e+00 2.084468470811820905e-05
2.290000000000000036e+00 2.042941770154062318e-05
2.310000000000000053e+00 2.017032415414682806e-05
2.330000000000000071e+00 1.891095300377985790e-05
2.350000000000000089e+00 1.823010509932323638e-05
2.370000000000000107e+00 1.869509596630721708e-05
2.390000000000000124e+00 1.848703164099151452e-05
2.410000000000000142e+00 1.730957086876580591e-05
2.430000000000000160e+00 1.705786940482957153e-05
2.450000000000000178e+00 1.645544136808236904e-05
2.469999999999999751e+00 1.566646702870002708e-05
2.490000000000000213e+00 1.537821405056212699e-05
2.509999999999999787e+00 1.493235432939723409e-05
2.530000000000000249e+00 1.483182224913332442e-05
2.549999999999999822e+00 1.410230571271859991e-05
2.570000000000000284e+00 1.308064056047632847e-05
2.589999999999999858e+00 1.230435552630771703e-05
2.610000000000000320e+00 1.206079029556767709e-05
2.629999999999999893e+00 1.210059841679151841e-05
2.650000000000000355e+00 1.165442634262697783e-05
2.669999999999999929e+00 1.130255313590286252e-05
2.690000000000000391e+00 1.053575926614918985e-05
2.709999999999999964e+00 1.015859250721440908e-05
2.729999999999999982e+00 9.838723475639742867e-06
2.750000000000000000e+00 1.007140407475434467e-05
2.770000000000000018e+00 9.822699968686279522e-06
2.790000000000000036e+00 9.472380694945103049e-06
2.810000000000000053e+00 9.021066036537632934e-06
2.830000000000000071e+00 9.068231641938652858e-06
2.850000000000000089e+00 8.809137548771021388e-06
2.870000000000000107e+00 8.566036958146177813e-06
2.890000000000000124e+00 8.349989741916556189e-06
2.910000000000000142e+00 7.914062881798329072e-06
2.930000000000000160e+00 7.590527947452677541e-06
2.950000000000000178e+00 7.225921253205228930e-06
2.970000000000000195e+00 6.989979210504800893e-06
2.990000000000000213e+00 6.867144275751449154e-06
3.010000000000000231e+00 6.318729816824437400e-06
3.030000000000000249e+00 6.161809639207698353e-06
3.050000000000000266e+00 6.147750911395910133e-06
3.070000000000000284e+00 5.906713472729827600e-06
3.090000000000000302e+00 5.416276406200032221e-06
3.110000000000000320e+00 5.184026853771356210e-06
3.129999999999999893e+00 4.963426828405825453e-06
3.149999999999999911e+00 4.683592342535186649e-06
3.169999999999999929e+00 4.758631053980464721e-06
3.189999999999999947e+00 4.389094890139427480e-06
3.209999999999999964e+00 4.315288023581053027e-06
3.229999999999999982e+00 4.146722246921410968e-06
3.250000000000000000e+00 4.004405057220312599e-06
3.270000000000000018e+00 3.633964385200447530e-06
3.290000000000000036e+00 3.465244544117580976e-06
3.310000000000000053e+00 3.368727796938128868e-06
3.330000000000000071e+00 3.240865410869564296e-06
3.350000000000000089e+00 2.953364305281777338e-06
3.370000000000000107e+00 3.105623342978307105e-06
3.390000000000000124e+00 2.637410314999842645e-06
3.410000000000000142e+00 2.431918842724879695e-06
3.430000000000000160e+00 2.329531036202605439e-06
3.450000000000000178e+00 2.002617287103091348e-06
3.470000000000000195e+00 1.788530620914294154e-06
3.490000000000000213e+00 1.609698110579319444e-06
