# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/QSO_NGC_nz.txt
#  zmid n(z)
2.410000000000000142e+00 1.722861593389048466e-05
2.429999999999999716e+00 1.695669691998885945e-05
2.450000000000000178e+00 1.635810846841005028e-05
2.469999999999999751e+00 1.550492959171001083e-05
2.490000000000000213e+00 1.530742913545109977e-05
2.509999999999999787e+00 1.480415014601019728e-05
2.530000000000000249e+00 1.480480187913687020e-05
2.549999999999999822e+00 1.404960468548481548e-05
2.570000000000000284e+00 1.302452995783154634e-05
2.589999999999999858e+00 1.222595144687674662e-05
2.610000000000000320e+00 1.199703558898862171e-05
2.629999999999999893e+00 1.201837535459464440e-05
2.650000000000000355e+00 1.159650435574075199e-05
2.669999999999999929e+00 1.123656579079772453e-05
2.690000000000000391e+00 1.045448955035081396e-05
2.709999999999999964e+00 1.010367100124543847e-05
2.730000000000000426e+00 9.769221893423127794e-06
2.750000000000000000e+00 1.001871508464866670e-05
2.770000000000000462e+00 9.767490270897511600e-06
2.790000000000000036e+00 9.403446521098383855e-06
2.810000000000000053e+00 8.960763838689721290e-06
2.830000000000000071e+00 9.008772743181994299e-06
2.849999999999999645e+00 8.776101288100897867e-06
2.870000000000000107e+00 8.504368050308832645e-06
2.889999999999999680e+00 8.311373803928991539e-06
2.910000000000000142e+00 7.886844937525997596e-06
2.929999999999999716e+00 7.555132992894686303e-06
2.950000000000000178e+00 7.175839092187765930e-06
2.969999999999999751e+00 6.964193777250935988e-06
2.990000000000000213e+00 6.838877617186571166e-06
3.009999999999999787e+00 6.292461428647613173e-06
3.030000000000000249e+00 6.129816520822141987e-06
3.049999999999999822e+00 6.124788583335042171e-06
3.070000000000000284e+00 5.892480173603869150e-06
3.089999999999999858e+00 5.406469542309337787e-06
3.110000000000000320e+00 5.162542291012973484e-06
3.129999999999999893e+00 4.930585076631890317e-06
3.150000000000000355e+00 4.682948448445884149e-06
3.169999999999999929e+00 4.727515413563045624e-06
3.190000000000000391e+00 4.368565649956281769e-06
3.209999999999999964e+00 4.305406750694939315e-06
3.230000000000000426e+00 4.130846769522324608e-06
3.250000000000000000e+00 3.970817544584666466e-06
3.270000000000000462e+00 3.612716624954666167e-06
3.290000000000000036e+00 3.445489996032487958e-06
3.310000000000000497e+00 3.359639257965521406e-06
3.330000000000000071e+00 3.223281070207479303e-06
3.349999999999999645e+00 2.947529473587919452e-06
3.370000000000000107e+00 3.071627347835057749e-06
3.389999999999999680e+00 2.628705998809974700e-06
3.410000000000000142e+00 2.410005583753115877e-06
3.429999999999999716e+00 2.322959055371976481e-06
3.450000000000000178e+00 1.994020873010260641e-06
3.469999999999999751e+00 1.775727347603752159e-06
3.490000000000000213e+00 1.601809008634456605e-06
3.500000000000000000e+00 1.601809008634456605e-06
