# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/LRG_SGC_nz.txt
#  zmid n(z)
6.650000000000000355e-01 5.039032853173899297e-04
6.750000000000000444e-01 5.001696631438526169e-04
6.850000000000000533e-01 5.074385301901330374e-04
6.950000000000000622e-01 5.104624840133596035e-04
7.050000000000000711e-01 5.035601886532697739e-04
7.149999999999999689e-01 5.067407561524148694e-04
7.249999999999999778e-01 5.000152450425023780e-04
7.349999999999999867e-01 4.960821216077463455e-04
7.449999999999999956e-01 5.183135732999961899e-04
7.550000000000000044e-01 5.213262150354867203e-04
7.650000000000000133e-01 5.116658327104565930e-04
7.750000000000000222e-01 5.409007710812198996e-04
7.850000000000000311e-01 5.519954823234817214e-04
7.950000000000000400e-01 5.772774994065132774e-04
8.050000000000000488e-01 5.729400478254131988e-04
8.150000000000000577e-01 5.340232262992520218e-04
8.250000000000000666e-01 5.174317098777451822e-04
8.349999999999999645e-01 5.136745454405804937e-04
8.449999999999999734e-01 5.050098294252593255e-04
8.549999999999999822e-01 4.997432484771969097e-04
8.649999999999999911e-01 4.707175193248839856e-04
8.750000000000000000e-01 4.527841638305706040e-04
8.850000000000000089e-01 4.343856248270422881e-04
8.950000000000000178e-01 4.030039254708960212e-04
9.050000000000000266e-01 3.913808102171743137e-04
9.150000000000000355e-01 3.558818737609079769e-04
9.250000000000000444e-01 3.426717208467172367e-04
9.350000000000000533e-01 3.320897118536000306e-04
9.450000000000000622e-01 3.004700032479973586e-04
9.550000000000000711e-01 2.770834534683879651e-04
9.649999999999999689e-01 2.560288538847581437e-04
9.749999999999999778e-01 2.315544697477411114e-04
9.849999999999999867e-01 2.154106561354237161e-04
9.949999999999999956e-01 1.922348090765216299e-04
1.004999999999999893e+00 1.753338402015705458e-04
1.015000000000000124e+00 1.589137996240814143e-04
1.024999999999999911e+00 1.421467433845129678e-04
1.035000000000000142e+00 1.259931447981432002e-04
1.044999999999999929e+00 1.123505389264241105e-04
1.055000000000000160e+00 1.027035379133285268e-04
1.064999999999999947e+00 9.007349005557418076e-05
1.075000000000000178e+00 8.069413640492142611e-05
1.084999999999999964e+00 7.402598035958474188e-05
1.095000000000000195e+00 6.654452447242012946e-05
1.104999999999999982e+00 5.894432618020327988e-05
1.115000000000000213e+00 5.480465856359501388e-05
1.125000000000000000e+00 4.685664282566988473e-05
1.135000000000000231e+00 4.145719877262267624e-05
1.145000000000000018e+00 3.834507192061906383e-05
1.155000000000000027e+00 3.245138548832513078e-05
1.165000000000000036e+00 3.024011771656952277e-05
1.174999999999999822e+00 2.634714299961650566e-05
1.185000000000000053e+00 2.212558545378622533e-05
1.194999999999999840e+00 1.914421131872817326e-05
1.205000000000000071e+00 1.632833473815245622e-05
1.214999999999999858e+00 1.456185350900702793e-05
1.225000000000000089e+00 1.327277344147238848e-05
1.234999999999999876e+00 1.081584426708954369e-05
1.245000000000000107e+00 9.233654911386953259e-06
1.254999999999999893e+00 7.974837604219453429e-06
1.265000000000000124e+00 7.084181757160342991e-06
1.274999999999999911e+00 6.167038079757790567e-06
1.285000000000000142e+00 5.245162816719038635e-06
1.294999999999999929e+00 4.629335556958512330e-06
1.305000000000000160e+00 4.264534997915398882e-06
1.314999999999999947e+00 4.619520773777757783e-06
1.325000000000000178e+00 3.708423466272101006e-06
1.334999999999999964e+00 2.750283820581513868e-06
1.345000000000000195e+00 2.182155205032416451e-06
1.354999999999999982e+00 2.300831731878471497e-06
1.365000000000000213e+00 2.088786840465784612e-06
1.375000000000000000e+00 1.225124232693453963e-06
1.385000000000000231e+00 1.160259695215554156e-06
1.395000000000000018e+00 9.217856829738644356e-07
1.405000000000000027e+00 9.111307552739101454e-07
1.415000000000000036e+00 6.326895748563755877e-07
1.424999999999999822e+00 6.003280636461276816e-07
1.435000000000000053e+00 6.192776348950721205e-07
1.444999999999999840e+00 4.923561797839582211e-07
1.455000000000000071e+00 4.157634613000010375e-07
1.464999999999999858e+00 2.683341280003928780e-07
1.475000000000000089e+00 3.162678396041009947e-07
1.484999999999999876e+00 3.820690951355119097e-07
1.495000000000000107e+00 1.034296946173115670e-06
1.500000000000000000e+00 1.034296946173115670e-06
