8.406460345289805680e-01 9.516370812176301541e+00 4.444025424527991430e-01 1.166994807856521277e+01 1.330808409390647817e+00
1.233899633811034402e+00 6.548631665911262445e+00 2.279707758899483516e-01 6.766686226692858241e+00 5.519270110261226270e-01
1.811116978826975643e+00 4.437238709816184290e+00 1.032571087078907046e-01 3.469172182456595976e+00 2.564839044844018368e-01
2.658356175100130780e+00 3.044607862998776504e+00 4.423184140661963470e-02 2.148751551783265157e+00 1.355842719245185790e-01
3.901933246890578744e+00 2.063219711326544026e+00 2.564518759150643742e-02 1.179278263775530133e+00 5.860327170592233986e-02
5.727254762096192664e+00 1.284523578063597071e+00 1.586109723197611648e-02 5.401692669030171423e-01 3.219413419735048937e-02
8.406460345289804792e+00 7.538722734397718117e-01 5.788418310030560288e-03 1.887895742896058549e-01 1.347396232743131028e-02
1.233899633811034491e+01 4.007989324065759362e-01 2.960328004999944820e-03 2.581164771381268958e-02 8.366155742557633557e-03
1.811116978826975554e+01 1.931099455358865347e-01 1.864426227808870917e-03 -3.644839112213990595e-02 3.874762354536041061e-03
2.658356175100130514e+01 8.415627446139464785e-02 9.831275529549215238e-04 -3.932736897321874314e-02 2.275044736721838420e-03
