8.406460345289805680e-01 1.190174078093246024e+01 1.364428791435495114e+00 1.651700324154570509e+01 3.859129557549773271e+00
1.233899633811034402e+00 9.181551623834565135e+00 7.283286228960763609e-01 1.085432231621872035e+01 2.268992031370267615e+00
1.811116978826975643e+00 5.072381191984716153e+00 2.721184091888582124e-01 3.569035723887073353e+00 8.005387582236704880e-01
2.658356175100130780e+00 3.246257973604802505e+00 1.206146220319455897e-01 2.057830669527241696e+00 3.126219020362804302e-01
3.901933246890578744e+00 2.360363483006130636e+00 1.137066670560684251e-01 1.254633488197563818e+00 2.133794542604260658e-01
5.727254762096192664e+00 1.203111406941161032e+00 3.307694743278696142e-02 1.191296217245456229e-01 6.886804411004918136e-02
8.406460345289804792e+00 6.659156526586775815e-01 1.609096364618474787e-02 -9.136045590980713949e-02 3.252358295522094628e-02
1.233899633811034491e+01 3.437416513828891462e-01 8.955820458504718320e-03 -1.220960870734269094e-01 2.096458368666931013e-02
1.811116978826975554e+01 1.699251928319662208e-01 4.725975266751067730e-03 -9.984390284199844146e-02 1.051556397279116567e-02
2.658356175100130514e+01 7.171801956408641043e-02 2.947461880510741754e-03 -5.450174138220569703e-02 6.448821038148688616e-03
