1.552650895573721209e+05 4.029417225810513173e+03 1.031455251879947718e+04 -4.695325583028523397e+03 -3.670420172467303814e+02 1.439256893123762779e+02 5.420044814720370141e+02 1.692375580124397061e+02 -1.975981204355605669e+01 -2.134764884796758224e+02 -3.236045724643423682e+01 1.517037568126692193e+01 -4.629647312642755708e+01 1.701828655633419629e+01 -1.212839581591805782e+01 1.019564560836522382e+01 1.980680112367818140e+02 3.879501305294691349e+01 1.965693780323437068e+01 -1.826755918576452586e+01 -1.642730281252236413e+00 3.298592076832970399e+00 -1.319608285597920760e+00 6.409230378175773124e-02 -2.294304570198401616e-01 9.024401447028861867e+01 1.494746965946176829e+02 1.855471013727262974e+00 3.588707642109940821e+01 -1.164992956650372768e+01 -9.441553490036705298e+00 -4.453340723350123764e-01 2.828679748283577489e+00 1.138527208304962901e+00 2.451479237475367445e-01
4.029417225810513173e+03 9.326366120624731411e+04 -2.688903910962245391e+03 -1.021952042424413321e+03 1.884898762415999727e+02 3.394284069643496764e+02 3.242739661281909491e+01 2.042949564680302785e+02 3.948884901012808513e+01 -9.216538585486476620e+01 8.320121730942116756e+01 4.277234895361581124e+01 1.073830580461398831e+01 1.112176333956396945e+01 9.431550914074618319e+00 6.406581052115127761e+01 1.621016854968096084e+02 -8.284828074939730724e-01 5.604365331019202756e+00 -8.953861701810233997e-01 -2.178347161671366994e+00 1.780653319816361879e+00 -1.614686427540300839e-01 3.312907603999592498e-01 2.195271982168125746e-01 -2.821947391110127228e+02 9.774210869408727831e+02 -3.276233256543179095e+01 2.456678777781542067e+01 -1.102832870704023804e+01 9.556571160130840070e+00 1.594684300570820668e+00 3.161188269254569860e+00 2.021529829299463898e+00 3.497761751416857412e-01
1.031455251879947718e+04 -2.688903910962245391e+03 7.161363319542426325e+03 -3.687716135488869327e+02 4.517802328049276070e+02 3.848983053419030020e-01 1.773595647675365816e+00 -1.870781494058011560e+02 -1.610164249263512204e+01 -4.444667158760311487e+00 1.409183598417386030e+01 5.299825859022782026e+00 -6.794489720777294295e+00 1.261399186754116053e-01 -6.278914800158448273e-01 3.522398091361426964e+01 1.846237971653546595e+01 6.164806710012337376e+00 4.065721353859140241e-01 -2.508501835603849539e+00 6.985249188223401351e-01 3.113967701924009734e-01 -5.200287889510450678e-02 5.710499515404166698e-02 1.925926984055417127e-03 3.431363821220337940e+01 2.221701328339235104e+01 4.809209373142250143e+01 1.016817714877830348e+01 4.141278205516853106e+00 -1.645664194559357973e+00 -1.540014551477928428e+00 1.121216307807334056e+00 7.808095688167981940e-02 -6.991517961083174026e-02
-4.695325583028523397e+03 -1.021952042424413321e+03 -3.687716135488869327e+02 5.119915876857484363e+03 -2.234001838756227301e+02 2.012424406243677595e+02 4.523658528240200383e+01 -3.564532813203813788e+01 8.818393025597546231e-01 2.260898410094576505e+01 8.354407132647070355e+00 5.186209368019230936e+00 5.338740770998461116e+00 -4.827682004805893712e+00 6.542147639621152422e+00 2.370936920518962054e+01 2.686499316222699107e+00 3.141364172183985559e+00 -3.388682086155765827e+00 1.288795939011480929e+00 1.328402813196451371e+00 -2.686293797279691864e-01 4.341262323902427001e-02 -1.329134197640415536e-02 1.004702776308464829e-01 1.647687326079287402e+02 3.241279333040527888e+01 4.571965425021122087e+01 8.371786876447670167e+00 -1.230526301636995362e-01 3.016658500445757340e+00 8.033346260263162231e-01 2.080468310304245116e-01 7.408781276136737481e-02 -6.863596234141042252e-02
-3.670420172467303814e+02 1.884898762415999727e+02 4.517802328049276070e+02 -2.234001838756227301e+02 1.331125521132110180e+03 -3.849788833922059439e+01 3.788327369738980366e+01 -1.728415374157212980e+01 1.453325527550209806e+01 5.378649435078272312e+00 3.603226971402272660e+00 -1.277376774883059563e+00 4.621898811334466117e-01 1.398446846834031199e+00 -1.393057160478928802e-01 4.111625896667739255e+01 8.184883579240002760e+00 -2.144629057467918987e+00 -5.015414126038529874e-01 1.184513409889747182e+00 5.341434218574284826e-02 3.064037712681313627e-02 -4.687694187780481331e-02 5.046880732720537138e-03 2.109499409590824201e-02 7.392583156632709063e+01 2.037711747904007353e+01 3.506288038763200721e+00 -3.074067489668565883e-02 1.693130009716417028e+00 7.989217258825659362e-01 -1.441932359570806399e-01 -9.797676898647987576e-02 1.859158154914185568e-01 1.731428640789314452e-02
1.439256893123762779e+02 3.394284069643496764e+02 3.848983053419030020e-01 2.012424406243677595e+02 -3.849788833922059439e+01 6.516519788502573647e+02 6.287088378281808332e+01 -9.168332985815940361e+00 5.411870960495056337e+00 1.042541273058833085e+01 2.307457404481700447e+00 -2.370024576002050409e+00 5.250609919643230983e-01 2.490315959652626976e-01 -4.787945476084899676e-02 2.289854869947142291e+01 4.241341631708063886e+00 4.681672396321107321e+00 7.256441725353386385e-01 3.623459597864406301e-02 2.861380356363832367e-01 2.291532139265589282e-02 3.892274189089001829e-02 6.570026070153157233e-03 1.438422614565840023e-02 -8.425724647336025441e+00 1.173152375390057855e+01 -1.398627727011866329e+00 6.554840021960194107e+00 2.063056921680451461e-01 1.333976034650838915e+00 1.822409190122508404e-01 6.050221137631574264e-03 7.096063667984349801e-03 6.647665675012779697e-03
5.420044814720370141e+02 3.242739661281909491e+01 1.773595647675365816e+00 4.523658528240200383e+01 3.788327369738980366e+01 6.287088378281808332e+01 1.766559826178095705e+02 1.051020382535093667e+01 -1.885393605840802178e-01 -5.004354465995684009e+00 7.755822192775700952e-01 -1.873399924957060980e-01 -1.534774937569490794e+00 -3.575845745481105731e-02 9.985382358788462420e-02 1.133004531325412650e-01 7.045180813088702365e+00 6.103007868790174539e-01 2.122124059351148673e-01 1.065934652849178516e-01 -7.153573649531413947e-02 7.986793860354916841e-02 -1.469600427478208807e-02 -4.498424333596316368e-03 9.224524034100591713e-03 6.238014566302807040e+00 -7.783621871511377854e+00 -5.114809800903176162e-01 8.766607640063472928e-01 1.376093119458990044e+00 4.311522483170217024e-01 3.479814746144440502e-02 3.744227335717453115e-02 3.465261658255121280e-02 2.122076992127665263e-02
1.692375580124397061e+02 2.042949564680302785e+02 -1.870781494058011560e+02 -3.564532813203813788e+01 -1.728415374157212980e+01 -9.168332985815940361e+00 1.051020382535093667e+01 7.985539870026674691e+01 6.750551694019181426e+00 -2.182875391638996909e+00 -2.111088982980104944e-01 2.251065738138322003e-01 4.027940050455640630e-01 -4.025713778773613583e-01 6.466420258925220654e-02 -4.736528922807125674e+00 4.225275686174405076e-01 9.335020206342000693e-01 8.747380676133567068e-01 8.059009098909378221e-02 4.550610745186790818e-02 4.201795908663526202e-02 4.429087298772439035e-02 1.665743502301000184e-03 2.127814628591017353e-03 7.188933995890515405e+00 -2.087143786450273097e+00 -4.263362855010004004e+00 4.512174594319654508e-01 2.795242433962151773e-01 1.518417143088979238e-01 8.122516315093120109e-02 3.985718776929240287e-02 -3.092061572154226889e-03 -2.367728821703051455e-03
-1.975981204355605669e+01 3.948884901012808513e+01 -1.610164249263512204e+01 8.818393025597546231e-01 1.453325527550209806e+01 5.411870960495056337e+00 -1.885393605840802178e-01 6.750551694019181426e+00 2.913596653502893119e+01 2.476040608096208295e+00 2.034464502493867677e+00 -9.477837340784148745e-01 -5.290943427551196843e-01 4.186946395618612593e-01 1.567623612914125220e-01 5.913180279809547857e-01 2.255496075534855760e-01 6.218231571659815771e-02 5.480674214815426382e-01 3.277230695886642065e-01 7.246039440806359422e-02 3.860145322983787874e-02 2.664653906332214300e-02 7.564240889804484287e-03 2.086297834814949351e-03 -5.096532204178883418e+00 -3.240381894671272800e+00 4.585161720553009301e-01 -1.522608414906398699e-01 2.531972998461646390e-02 2.679176145346546800e-01 1.680872896110972570e-01 5.168206422524212335e-02 2.424937950302257991e-02 -3.622880144912381337e-03
-2.134764884796758224e+02 -9.216538585486476620e+01 -4.444667158760311487e+00 2.260898410094576505e+01 5.378649435078272312e+00 1.042541273058833085e+01 -5.004354465995684009e+00 -2.182875391638996909e+00 2.476040608096208295e+00 1.194142693329984084e+01 6.628656609901689700e-01 -9.984321205650805720e-01 1.687010556138904549e-01 9.051165661979390653e-02 1.746264403027669165e-01 3.490234128021561411e+00 -1.546153044730238957e+00 3.534148974054748815e-01 1.077221947221815856e-01 2.249569695457624696e-01 1.499548339413358244e-01 -3.358787324812922276e-02 1.458035194912897514e-02 1.096118028570860830e-03 4.349072631817427204e-03 4.750002644309951449e+00 -5.588052234851125455e+00 -2.788658577967998431e-01 6.478801194375949368e-01 1.021513931504507006e-01 3.081750219909026520e-02 8.418119557018588495e-02 -9.027366553766829477e-03 1.846683951362909290e-02 1.408700695923183373e-03
