1.233899633811034596e-01 4.871006950347640441e+02 8.195633734306176166e+01
1.811116978826976254e-01 3.062224966210616230e+02 3.940401526526670040e+01
2.658356175100131669e-01 2.490830836980751428e+02 2.562885777540855869e+01
3.901933246890578744e-01 1.522470279868680620e+02 1.797353470056588165e+01
5.727254762096194440e-01 1.014013195921815225e+02 9.930153479001855743e+00
8.406460345289805680e-01 6.581280009392173724e+01 5.440891928189961035e+00
1.233899633811034402e+00 4.988291363640076526e+01 3.915660644377473520e+00
1.811116978826975643e+00 4.193607441407549175e+01 2.523990439244892414e+00
2.658356175100130780e+00 3.145324732616329300e+01 2.319758876727023633e+00
3.901933246890578744e+00 2.532975171756947930e+01 1.076065407873039392e+00
5.727254762096192664e+00 1.814179489607602136e+01 7.430146921562869045e-01
8.406460345289804792e+00 1.360002800402460821e+01 5.050048897803200987e-01
1.233899633811034491e+01 1.013944878378593017e+01 3.962959930239273176e-01
1.811116978826975554e+01 6.124495071603710983e+00 2.790662574217298575e-01
2.658356175100130514e+01 3.731236466777800409e+00 1.962430144098627760e-01
