1.233899633811034596e-01 1.350665607403486547e+03 3.940369139527057314e+02
1.811116978826976254e-01 1.397252544323949223e+03 3.053909972580188423e+02
2.658356175100131669e-01 3.295453295204868027e+02 8.462483866774830688e+01
3.901933246890578744e-01 3.958475128817366340e+02 7.155358744925017334e+01
5.727254762096194440e-01 2.063350043277790178e+02 3.648459292814036559e+01
8.406460345289805680e-01 1.836852085664649508e+02 2.552747497991644110e+01
1.233899633811034402e+00 1.168419641465857950e+02 1.329119944240586371e+01
1.811116978826975643e+00 1.027229644062145439e+02 8.936184795552660987e+00
2.658356175100130780e+00 6.582260605068820780e+01 5.397774220456882155e+00
3.901933246890578744e+00 4.805453947910067569e+01 3.455636979385983132e+00
5.727254762096192664e+00 3.644178325979441269e+01 2.376638840802018926e+00
8.406460345289804792e+00 2.707410020777111015e+01 1.407388888752478140e+00
1.233899633811034491e+01 1.579355721991430173e+01 9.464790968962629725e-01
1.811116978826975554e+01 9.488068102350959876e+00 5.804989265554588718e-01
2.658356175100130514e+01 5.352612620219677098e+00 4.683910467588279225e-01
